scenario,message_size,invocation_rate,invocation_index,end_to_end_latency_ms,publisher_processing_latency_ms
Large Message (0.1 rps),large,0.1_rps,1,63.95399999999999,9.806000000000001
Large Message (0.1 rps),large,0.1_rps,2,68.709,8.316
Large Message (0.1 rps),large,0.1_rps,3,67.591,7.986
Large Message (0.1 rps),large,0.1_rps,4,69.00399999999999,6.9350000000000005
Large Message (0.1 rps),large,0.1_rps,5,82.635,8.265
Large Message (0.1 rps),large,0.1_rps,6,69.309,8.828000000000001
Large Message (0.1 rps),large,0.1_rps,7,91.829,6.337
Large Message (0.1 rps),large,0.1_rps,8,90.955,7.694
Large Message (0.1 rps),large,0.1_rps,9,85.462,7.731
Large Message (0.1 rps),large,0.1_rps,10,97.716,7.368
Large Message (0.1 rps),large,0.1_rps,11,67.346,6.369
Large Message (0.1 rps),large,0.1_rps,12,67.00200000000001,5.989999999999999
Large Message (0.1 rps),large,0.1_rps,13,62.745999999999995,5.795
Large Message (0.1 rps),large,0.1_rps,14,63.44,5.821
Large Message (0.1 rps),large,0.1_rps,15,75.13499999999999,5.760000000000001
Large Message (0.1 rps),large,0.1_rps,16,80.36600000000001,8.336
Large Message (0.1 rps),large,0.1_rps,17,75.847,8.019
Large Message (0.1 rps),large,0.1_rps,18,91.178,6.446999999999999
Large Message (0.1 rps),large,0.1_rps,19,71.90100000000001,6.854
Large Message (0.1 rps),large,0.1_rps,20,62.529,6.6129999999999995
Large Message (0.1 rps),large,0.1_rps,21,81.001,8.4
Large Message (0.1 rps),large,0.1_rps,22,66.485,7.769
Large Message (0.1 rps),large,0.1_rps,23,64.789,6.596
Large Message (0.1 rps),large,0.1_rps,24,63.15800000000001,7.3709999999999996
Large Message (0.1 rps),large,0.1_rps,25,73.46,9.065999999999999
Large Message (0.1 rps),large,0.1_rps,26,71.315,6.962999999999999
Large Message (0.1 rps),large,0.1_rps,27,86.615,7.342
Large Message (0.1 rps),large,0.1_rps,28,70.227,12.588000000000001
Large Message (0.1 rps),large,0.1_rps,29,82.633,6.734
Large Message (0.1 rps),large,0.1_rps,30,58.632,7.055
Large Message (0.1 rps),large,0.1_rps,31,62.92,7.577
Large Message (0.1 rps),large,0.1_rps,32,61.147,6.245
Large Message (0.1 rps),large,0.1_rps,33,62.696000000000005,7.684
Large Message (0.1 rps),large,0.1_rps,34,66.27900000000001,6.936999999999999
Large Message (0.1 rps),large,0.1_rps,35,63.226000000000006,8.351
Large Message (0.1 rps),large,0.1_rps,36,64.081,6.966
Large Message (0.1 rps),large,0.1_rps,37,71.12599999999999,8.25
Large Message (0.1 rps),large,0.1_rps,38,63.592999999999996,5.767
Large Message (0.1 rps),large,0.1_rps,39,63.56100000000001,7.611
Large Message (0.1 rps),large,0.1_rps,40,66.486,7.407
Large Message (0.1 rps),large,0.1_rps,41,61.416,7.378
Large Message (0.1 rps),large,0.1_rps,42,61.315000000000005,6.235
Large Message (0.1 rps),large,0.1_rps,43,69.363,8.612
Large Message (0.1 rps),large,0.1_rps,44,72.299,6.286
Large Message (0.1 rps),large,0.1_rps,45,61.351000000000006,7.229
Large Message (0.1 rps),large,0.1_rps,46,61.123999999999995,6.372
Large Message (0.1 rps),large,0.1_rps,47,59.27,5.792000000000001
Large Message (0.1 rps),large,0.1_rps,48,64.56,7.133
Large Message (0.1 rps),large,0.1_rps,49,62.806,6.5440000000000005
Large Message (0.1 rps),large,0.1_rps,50,67.183,7.583
Large Message (0.1 rps),large,0.1_rps,51,69.368,6.572
Large Message (0.1 rps),large,0.1_rps,52,64.131,7.811
Large Message (0.1 rps),large,0.1_rps,53,82.988,8.621
Large Message (0.1 rps),large,0.1_rps,54,62.830999999999996,9.209
Large Message (0.1 rps),large,0.1_rps,55,68.235,7.475
Large Message (0.1 rps),large,0.1_rps,56,67.305,7.729
Large Message (0.1 rps),large,0.1_rps,57,60.765,7.518999999999999
Large Message (0.1 rps),large,0.1_rps,58,67.11,7.222
Large Message (0.1 rps),large,0.1_rps,59,74.727,10.39
Large Message (0.1 rps),large,0.1_rps,60,66.35000000000001,5.9239999999999995
Large Message (0.1 rps),large,0.1_rps,61,76.91099999999999,7.361999999999999
Large Message (0.1 rps),large,0.1_rps,62,80.85199999999999,6.276999999999999
Large Message (0.1 rps),large,0.1_rps,63,68.08,8.116
Large Message (0.1 rps),large,0.1_rps,64,62.63100000000001,5.799
Large Message (0.1 rps),large,0.1_rps,65,67.65,6.969
Large Message (0.1 rps),large,0.1_rps,66,77.024,6.982
Large Message (0.1 rps),large,0.1_rps,67,71.45400000000001,8.718
Large Message (0.1 rps),large,0.1_rps,68,95.114,8.703000000000001
Large Message (0.1 rps),large,0.1_rps,69,80.693,7.8100000000000005
Large Message (0.1 rps),large,0.1_rps,70,79.66,7.335
Large Message (0.1 rps),large,0.1_rps,71,71.295,7.922000000000001
Large Message (0.1 rps),large,0.1_rps,72,66.929,6.925
Large Message (0.1 rps),large,0.1_rps,73,66.199,6.556
Large Message (0.1 rps),large,0.1_rps,74,76.033,7.146999999999999
Large Message (0.1 rps),large,0.1_rps,75,74.014,6.669
Large Message (0.1 rps),large,0.1_rps,76,63.385,6.785
Large Message (0.1 rps),large,0.1_rps,77,64.831,6.942
Large Message (0.1 rps),large,0.1_rps,78,73.628,7.218999999999999
Large Message (0.1 rps),large,0.1_rps,79,57.946,5.682
Large Message (0.1 rps),large,0.1_rps,80,65.885,8.309000000000001
Large Message (0.1 rps),large,0.1_rps,81,64.072,7.09
Large Message (0.1 rps),large,0.1_rps,82,63.94,7.685
Large Message (0.1 rps),large,0.1_rps,83,71.416,8.556
Large Message (0.1 rps),large,0.1_rps,84,84.73899999999999,7.666
Large Message (0.1 rps),large,0.1_rps,85,66.802,9.687
Large Message (0.1 rps),large,0.1_rps,86,68.63900000000001,6.443
Large Message (0.1 rps),large,0.1_rps,87,69.846,7.5329999999999995
Large Message (0.1 rps),large,0.1_rps,88,78.54700000000001,8.342
Large Message (0.1 rps),large,0.1_rps,89,91.196,8.295
Large Message (0.1 rps),large,0.1_rps,90,68.57000000000001,8.363000000000001
Large Message (0.1 rps),large,0.1_rps,91,75.157,9.395000000000001
Large Message (0.1 rps),large,0.1_rps,92,63.214999999999996,8.7
Large Message (0.1 rps),large,0.1_rps,93,75.42699999999999,6.218999999999999
Large Message (0.1 rps),large,0.1_rps,94,80.567,6.244000000000001
Large Message (0.1 rps),large,0.1_rps,95,75.534,7.114
Large Message (0.1 rps),large,0.1_rps,96,58.041000000000004,5.958
Large Message (0.1 rps),large,0.1_rps,97,62.191,9.242
Large Message (0.1 rps),large,0.1_rps,98,66.10199999999999,6.289000000000001
Large Message (0.1 rps),large,0.1_rps,99,74.94800000000001,8.515
Large Message (0.1 rps),large,0.1_rps,100,74.574,7.760999999999999
Large Message (0.1 rps),large,0.1_rps,101,115.069,9.643
Large Message (0.1 rps),large,0.1_rps,102,104.795,7.845
Large Message (0.1 rps),large,0.1_rps,103,76.183,7.707999999999999
Large Message (0.1 rps),large,0.1_rps,104,69.941,6.742
Large Message (0.1 rps),large,0.1_rps,105,83.778,7.182
Large Message (0.1 rps),large,0.1_rps,106,67.179,6.518000000000001
Large Message (0.1 rps),large,0.1_rps,107,65.97,8.57
Large Message (0.1 rps),large,0.1_rps,108,66.15,8.484
Large Message (0.1 rps),large,0.1_rps,109,68.12899999999999,7.424
Large Message (0.1 rps),large,0.1_rps,110,65.456,8.453000000000001
Large Message (0.1 rps),large,0.1_rps,111,70.80300000000001,8.603
Large Message (0.1 rps),large,0.1_rps,112,65.747,6.61
Large Message (0.1 rps),large,0.1_rps,113,69.13,6.465
Large Message (0.1 rps),large,0.1_rps,114,66.18599999999999,9.484
Large Message (0.1 rps),large,0.1_rps,115,65.36200000000001,6.745
Large Message (0.1 rps),large,0.1_rps,116,72.837,8.569
Large Message (0.1 rps),large,0.1_rps,117,86.571,8.51
Large Message (0.1 rps),large,0.1_rps,118,62.895999999999994,6.803
Large Message (0.1 rps),large,0.1_rps,119,81.704,8.506
