scenario,message_size,invocation_rate,invocation_index,end_to_end_latency_ms,publisher_processing_latency_ms
Large Message (0.1 rps),large,0.1_rps,1,560.3059999999999,9.848
Large Message (0.1 rps),large,0.1_rps,2,499.328,8.549
Large Message (0.1 rps),large,0.1_rps,3,493.78,9.546000000000001
Large Message (0.1 rps),large,0.1_rps,4,566.104,9.214
Large Message (0.1 rps),large,0.1_rps,5,578.067,9.475000000000001
Large Message (0.1 rps),large,0.1_rps,6,482.29,9.835
Large Message (0.1 rps),large,0.1_rps,7,580.773,9.874
Large Message (0.1 rps),large,0.1_rps,8,510.425,9.199
Large Message (0.1 rps),large,0.1_rps,9,493.373,9.953999999999999
Large Message (0.1 rps),large,0.1_rps,10,498.031,8.774000000000001
Large Message (0.1 rps),large,0.1_rps,11,489.133,8.501
Large Message (0.1 rps),large,0.1_rps,12,472.538,9.067
Large Message (0.1 rps),large,0.1_rps,13,185.24599999999998,9.764
Large Message (0.1 rps),large,0.1_rps,14,543.8100000000001,9.45
Large Message (0.1 rps),large,0.1_rps,15,478.412,9.848
Large Message (0.1 rps),large,0.1_rps,16,558.807,9.273
Large Message (0.1 rps),large,0.1_rps,17,490.672,8.243
Large Message (0.1 rps),large,0.1_rps,18,484.751,8.857000000000001
Large Message (0.1 rps),large,0.1_rps,19,501.80800000000005,8.514000000000001
Large Message (0.1 rps),large,0.1_rps,20,564.361,9.197000000000001
Large Message (0.1 rps),large,0.1_rps,21,509.443,9.344999999999999
Large Message (0.1 rps),large,0.1_rps,22,483.047,9.371
Large Message (0.1 rps),large,0.1_rps,23,547.968,9.242
Large Message (0.1 rps),large,0.1_rps,24,538.9300000000001,9.449000000000002
Large Message (0.1 rps),large,0.1_rps,25,592.785,14.618
Large Message (0.1 rps),large,0.1_rps,26,485.716,9.688
Large Message (0.1 rps),large,0.1_rps,27,490.581,8.873000000000001
Large Message (0.1 rps),large,0.1_rps,28,484.631,9.0
Large Message (0.1 rps),large,0.1_rps,29,490.695,14.049000000000001
Large Message (0.1 rps),large,0.1_rps,30,479.328,9.042
Large Message (0.1 rps),large,0.1_rps,31,489.551,9.775
Large Message (0.1 rps),large,0.1_rps,32,484.88,9.598
Large Message (0.1 rps),large,0.1_rps,33,487.281,10.432
Large Message (0.1 rps),large,0.1_rps,34,479.106,8.962
Large Message (0.1 rps),large,0.1_rps,35,592.428,9.586
Large Message (0.1 rps),large,0.1_rps,36,477.034,8.843
Large Message (0.1 rps),large,0.1_rps,37,548.365,8.113999999999999
Large Message (0.1 rps),large,0.1_rps,38,557.021,9.03
Large Message (0.1 rps),large,0.1_rps,39,538.384,8.68
Large Message (0.1 rps),large,0.1_rps,40,558.0169999999999,8.923
Large Message (0.1 rps),large,0.1_rps,41,573.84,9.027999999999999
Large Message (0.1 rps),large,0.1_rps,42,467.415,12.062
Large Message (0.1 rps),large,0.1_rps,43,493.097,9.669
Large Message (0.1 rps),large,0.1_rps,44,492.185,8.443000000000001
Large Message (0.1 rps),large,0.1_rps,45,479.49,8.944
Large Message (0.1 rps),large,0.1_rps,46,488.14000000000004,8.798
Large Message (0.1 rps),large,0.1_rps,47,517.1790000000001,8.59
Large Message (0.1 rps),large,0.1_rps,48,562.859,9.394
Large Message (0.1 rps),large,0.1_rps,49,488.104,9.542
Large Message (0.1 rps),large,0.1_rps,50,489.833,9.036000000000001
Large Message (0.1 rps),large,0.1_rps,51,551.487,9.048
Large Message (0.1 rps),large,0.1_rps,52,476.96,7.809
Large Message (0.1 rps),large,0.1_rps,53,493.986,8.248
Large Message (0.1 rps),large,0.1_rps,54,481.274,8.42
Large Message (0.1 rps),large,0.1_rps,55,550.712,13.703999999999999
Large Message (0.1 rps),large,0.1_rps,56,464.40500000000003,9.603
Large Message (0.1 rps),large,0.1_rps,57,561.893,9.186
Large Message (0.1 rps),large,0.1_rps,58,482.78,9.311
Large Message (0.1 rps),large,0.1_rps,59,572.4390000000001,8.667
Large Message (0.1 rps),large,0.1_rps,60,497.205,9.469
Large Message (0.1 rps),large,0.1_rps,61,563.871,8.103000000000002
Large Message (0.1 rps),large,0.1_rps,62,572.4010000000001,8.123999999999999
Large Message (0.1 rps),large,0.1_rps,63,600.46,8.534999999999998
Large Message (0.1 rps),large,0.1_rps,64,487.131,5.917000000000001
Large Message (0.1 rps),large,0.1_rps,65,492.255,8.149
