scenario,message_size,invocation_rate,invocation_index,end_to_end_latency_ms,publisher_processing_latency_ms
Large Message (0.1 rps),large,0.1_rps,1,174.30499999999998,
Large Message (0.1 rps),large,0.1_rps,2,119.42099999999999,
Large Message (0.1 rps),large,0.1_rps,3,99.294,
Large Message (0.1 rps),large,0.1_rps,4,93.31299999999999,
Large Message (0.1 rps),large,0.1_rps,5,87.69,
Large Message (0.1 rps),large,0.1_rps,6,173.036,
Large Message (0.1 rps),large,0.1_rps,7,105.115,
Large Message (0.1 rps),large,0.1_rps,8,101.326,
Large Message (0.1 rps),large,0.1_rps,9,129.747,
Large Message (0.1 rps),large,0.1_rps,10,101.059,
Large Message (0.1 rps),large,0.1_rps,11,109.726,
Large Message (0.1 rps),large,0.1_rps,12,82.75699999999999,
Large Message (0.1 rps),large,0.1_rps,13,103.794,
Large Message (0.1 rps),large,0.1_rps,14,99.017,
Large Message (0.1 rps),large,0.1_rps,15,99.68599999999999,
Large Message (0.1 rps),large,0.1_rps,16,61.955999999999996,
Large Message (0.1 rps),large,0.1_rps,17,134.56099999999998,
Large Message (0.1 rps),large,0.1_rps,18,95.133,
Large Message (0.1 rps),large,0.1_rps,19,120.417,
Large Message (0.1 rps),large,0.1_rps,20,67.248,
Large Message (0.1 rps),large,0.1_rps,21,92.082,
Large Message (0.1 rps),large,0.1_rps,22,81.53699999999999,
Large Message (0.1 rps),large,0.1_rps,23,77.834,
Large Message (0.1 rps),large,0.1_rps,24,95.771,
Large Message (0.1 rps),large,0.1_rps,25,96.54,
Large Message (0.1 rps),large,0.1_rps,26,89.519,
Large Message (0.1 rps),large,0.1_rps,27,89.348,
Large Message (0.1 rps),large,0.1_rps,28,641.4609999999999,
Large Message (0.1 rps),large,0.1_rps,29,122.018,
Large Message (0.1 rps),large,0.1_rps,30,91.719,
Large Message (0.1 rps),large,0.1_rps,31,120.86099999999999,
Large Message (0.1 rps),large,0.1_rps,32,90.27799999999999,
Large Message (0.1 rps),large,0.1_rps,33,112.77199999999999,
Large Message (0.1 rps),large,0.1_rps,34,92.01299999999999,
Large Message (0.1 rps),large,0.1_rps,35,109.849,
Large Message (0.1 rps),large,0.1_rps,36,63.04800000000001,
Large Message (0.1 rps),large,0.1_rps,37,84.26,
Large Message (0.1 rps),large,0.1_rps,38,71.52600000000001,
Large Message (0.1 rps),large,0.1_rps,39,76.933,
Large Message (0.1 rps),large,0.1_rps,40,70.473,
