scenario,message_size,invocation_rate,invocation_index,end_to_end_latency_ms,publisher_processing_latency_ms
Large Message (0.1 rps),large,0.1_rps,1,713.389,
Large Message (0.1 rps),large,0.1_rps,2,658.0279999999999,
Large Message (0.1 rps),large,0.1_rps,3,1084.9660000000001,
Large Message (0.1 rps),large,0.1_rps,4,1150.2250000000001,
Large Message (0.1 rps),large,0.1_rps,5,137.94799999999998,
Large Message (0.1 rps),large,0.1_rps,6,644.3449999999999,
Large Message (0.1 rps),large,0.1_rps,7,815.369,
Large Message (0.1 rps),large,0.1_rps,8,141.233,
Large Message (0.1 rps),large,0.1_rps,9,111.153,
Large Message (0.1 rps),large,0.1_rps,10,706.809,
Large Message (0.1 rps),large,0.1_rps,11,660.4830000000001,
Large Message (0.1 rps),large,0.1_rps,12,638.025,
Large Message (0.1 rps),large,0.1_rps,13,91.101,
Large Message (0.1 rps),large,0.1_rps,14,84.87599999999999,
Large Message (0.1 rps),large,0.1_rps,15,672.43,
Large Message (0.1 rps),large,0.1_rps,16,664.7180000000001,
Large Message (0.1 rps),large,0.1_rps,17,84.69500000000001,
Large Message (0.1 rps),large,0.1_rps,18,714.0649999999999,
Large Message (0.1 rps),large,0.1_rps,19,690.714,
Large Message (0.1 rps),large,0.1_rps,20,92.58,
Large Message (0.1 rps),large,0.1_rps,21,86.607,
Large Message (0.1 rps),large,0.1_rps,22,85.49,
Large Message (0.1 rps),large,0.1_rps,23,93.295,
Large Message (0.1 rps),large,0.1_rps,24,653.26,
Large Message (0.1 rps),large,0.1_rps,25,77.205,
Large Message (0.1 rps),large,0.1_rps,26,81.971,
Large Message (0.1 rps),large,0.1_rps,27,87.93900000000001,
Large Message (0.1 rps),large,0.1_rps,28,83.396,
Large Message (0.1 rps),large,0.1_rps,29,64.598,
Large Message (0.1 rps),large,0.1_rps,30,83.56700000000001,
Large Message (0.1 rps),large,0.1_rps,31,116.646,
Large Message (0.1 rps),large,0.1_rps,32,3664.075,
Large Message (0.1 rps),large,0.1_rps,33,72.782,
Large Message (0.1 rps),large,0.1_rps,34,79.28399999999999,
Large Message (0.1 rps),large,0.1_rps,35,81.128,
Large Message (0.1 rps),large,0.1_rps,36,101.178,
Large Message (0.1 rps),large,0.1_rps,37,102.708,
Large Message (0.1 rps),large,0.1_rps,38,92.27000000000001,
Large Message (0.1 rps),large,0.1_rps,39,77.05499999999999,
Large Message (0.1 rps),large,0.1_rps,40,87.98400000000001,
Large Message (0.1 rps),large,0.1_rps,41,111.665,
Large Message (0.1 rps),large,0.1_rps,42,103.24,
Large Message (0.1 rps),large,0.1_rps,43,83.804,
Large Message (0.1 rps),large,0.1_rps,44,95.206,
Large Message (0.1 rps),large,0.1_rps,45,99.941,
Large Message (0.1 rps),large,0.1_rps,46,86.9,
Large Message (0.1 rps),large,0.1_rps,47,666.2860000000001,
Large Message (0.1 rps),large,0.1_rps,48,101.867,
