scenario,message_size,invocation_rate,invocation_index,end_to_end_latency_ms,publisher_processing_latency_ms
Large Message (0.1 rps),large,0.1_rps,1,623.305,80.361
Large Message (0.1 rps),large,0.1_rps,2,545.106,85.965
Large Message (0.1 rps),large,0.1_rps,3,511.88800000000003,64.16199999999999
Large Message (0.1 rps),large,0.1_rps,4,502.60499999999996,53.442
Large Message (0.1 rps),large,0.1_rps,5,617.761,69.5
Large Message (0.1 rps),large,0.1_rps,6,631.268,109.8
Large Message (0.1 rps),large,0.1_rps,7,524.3520000000001,74.252
Large Message (0.1 rps),large,0.1_rps,8,535.351,87.977
Large Message (0.1 rps),large,0.1_rps,9,549.524,79.822
Large Message (0.1 rps),large,0.1_rps,10,618.092,75.92599999999999
Large Message (0.1 rps),large,0.1_rps,11,615.632,79.567
Large Message (0.1 rps),large,0.1_rps,12,521.883,66.414
Large Message (0.1 rps),large,0.1_rps,13,521.141,71.857
Large Message (0.1 rps),large,0.1_rps,14,616.677,87.963
Large Message (0.1 rps),large,0.1_rps,15,551.16,67.661
Large Message (0.1 rps),large,0.1_rps,16,545.959,68.804
Large Message (0.1 rps),large,0.1_rps,17,543.159,87.09899999999999
Large Message (0.1 rps),large,0.1_rps,18,579.715,65.69200000000001
Large Message (0.1 rps),large,0.1_rps,19,586.2570000000001,63.897999999999996
Large Message (0.1 rps),large,0.1_rps,20,575.7710000000001,65.878
Large Message (0.1 rps),large,0.1_rps,21,576.963,90.906
Large Message (0.1 rps),large,0.1_rps,22,1072.422,86.241
Large Message (0.1 rps),large,0.1_rps,23,532.494,69.024
Large Message (0.1 rps),large,0.1_rps,24,1149.087,77.78500000000001
Large Message (0.1 rps),large,0.1_rps,25,1830.517,88.95100000000001
Large Message (0.1 rps),large,0.1_rps,26,588.47,60.168
Large Message (0.1 rps),large,0.1_rps,27,541.181,64.792
Large Message (0.1 rps),large,0.1_rps,28,586.291,56.033
Large Message (0.1 rps),large,0.1_rps,29,552.452,83.16999999999999
Large Message (0.1 rps),large,0.1_rps,30,588.898,61.504000000000005
